tr,eu5,imm7,ref2,ref3,ref4,country,germany,name,male,age,edu,income,unemployed,lrscale
0,0.2,0.3,0.75,0.75,0.75,0,,Belgium,0,79,2,7,0,3
0,0.5,0.6,0.5,0.25,0.75,0,,Belgium,0,50,1,7,0,1
0,0.1,0.3,0.5,0.5,0.75,0,,Belgium,1,57,4,6,0,5
0,0.3,0.5,0.5,1,1,0,,Belgium,1,20,2,8,0,5
1,0.4,0.4,0.75,0.25,0.5,0,,Belgium,0,26,4,7,0,3
1,0.5,0.3,0.75,0.5,0.25,0,,Belgium,1,33,6,7,0,7
1,0.4,0.3,0.75,0.25,0.25,0,,Belgium,1,57,2,6,0,2
0,,,0.75,,0.25,0,,Belgium,0,78,1,2,0,5
0,0.7,0,0,0,0,0,,Belgium,0,54,3,6,0,2
0,0.3,0.5,0.75,0.75,0.75,0,,Belgium,1,76,7,9,0,3
1,0.7,0.2,0.25,,0.75,0,,Belgium,1,43,6,6,0,4
0,0.5,0.5,0.5,0.5,0.5,0,,Belgium,0,20,4,,0,3
0,0,0.3,0,0,0,0,,Belgium,0,34,4,6,0,9
0,0,0,0.5,0.75,1,0,,Belgium,1,30,4,4,0,0
0,0.9,0.8,0.25,0.75,0.75,0,,Belgium,0,38,7,10,0,7
0,0.5,0.3,0.25,0.25,0.25,0,,Belgium,1,47,3,5,0,5
0,0.2,0.8,1,1,1,0,,Belgium,1,35,2,4,0,0
0,0.3,0.3,0.25,0.25,0.25,0,,Belgium,0,68,1,5,0,5
0,0.8,0.4,0,0.25,0,0,,Belgium,1,51,1,6,0,10
0,0.5,0.5,0.25,0.25,0.25,0,,Belgium,1,52,4,9,0,6
1,0.4,0.4,0.25,0.75,0.25,0,,Belgium,0,50,7,9,0,8
0,0,0.2,1,1,0.5,0,,Belgium,1,34,1,2,0,10
0,0.6,0.5,0.25,0.25,0,0,,Belgium,1,25,3,2,0,5
0,0.4,0.6,0.75,0.5,0.5,0,,Belgium,0,67,5,7,0,3
0,0.3,0.2,0,0.25,0,0,,Belgium,1,50,2,2,0,2
0,0.8,0.4,0.25,0.75,0.25,0,,Belgium,0,60,6,2,1,5
0,0.8,0.5,0.25,0.75,0.75,0,,Belgium,0,32,2,2,1,2
0,0.8,0.7,1,1,1,0,,Belgium,0,23,4,4,0,
0,0.5,0.5,0,0.25,0,0,,Belgium,0,63,1,5,0,6
